,diposting_oleh,sedang_pembangunan,disetujui_pemerintah,total_ruangan,tipe_a_atau_b,kaki_persegi,siap_pindah,dijual_kembali,alamat,longitude,latitude,harga,harga_per_kaki_persegi,harga_per_ruang
20,Owner,0,0,2,tipe_b,881.1435285,1,1,"Poonamallee,Chennai",80.11,13.05,45.0,0.05106999999943823,22.5
21,Dealer,0,0,2,tipe_b,944.8818898,1,1,"Undri,Pune",73.93104,18.452663,42.0,0.04444999999829609,21.0
22,Dealer,0,1,3,tipe_a,1310.147689,1,1,"Sector-134 Noida,Noida",77.381557,28.5041,55.0,0.041980000012044445,18.333333333333332
24,Dealer,0,0,2,tipe_b,1219.80971,1,1,"Narendra Nagar,Nagpur",79.078497,21.105779,50.0,0.04098999998942458,25.0
25,Owner,0,0,2,tipe_b,780.141844,1,1,"Kudgat,Kolkata",88.33778000000001,22.54111,27.5,0.03524999999871818,13.75
26,Owner,0,0,3,tipe_a,1600.0,1,1,"Sain Vihar,Ghaziabad",77.433724,28.63601,46.0,0.02875,15.333333333333334
27,Dealer,0,0,2,tipe_b,1180.412371,1,1,"Sector-115 Mohali,Mohali",76.648557,30.712867,22.9,0.01940000000220262,11.45
28,Owner,1,0,2,tipe_b,1000.0,0,1,"Mohan Asram,Deoghar",86.7,24.48,39.0,0.039,19.5
29,Dealer,0,0,2,tipe_b,1000.0,1,1,"Alwar Bypass Road,Bhiwadi",76.8606,28.2102,12.5,0.0125,6.25
30,Dealer,0,0,3,tipe_a,1400.107701,1,1,"Sector 84 Faridabad,Faridabad",77.367514,28.40473,52.0,0.03713999998918655,17.333333333333332
31,Dealer,0,1,2,tipe_b,943.1266076,1,1,"Sector-134 Noida,Noida",77.381557,28.5041,33.0,0.03499000000008058,16.5
32,Owner,0,0,2,tipe_b,1150.146382,1,1,"Indra Colony,Jaipur",74.873234,26.586306,55.0,0.047820000011094245,27.5
35,Owner,0,0,3,tipe_a,1174.210077,1,1,"Thalambur,Chennai",80.216826,12.852171,55.0,0.04683999999431107,18.333333333333332
36,Dealer,1,1,2,tipe_b,1020.087884,0,1,"Wakad,Pune",73.7625,18.5993,65.0,0.0637200000308993,32.5
37,Owner,0,0,4,selain tipe_a dan tipe_b,1650.165017,1,1,"Vasna,Vadodara",72.674296,22.312063,65.0,0.03938999998810422,16.25
38,Dealer,1,0,2,tipe_b,1000.0,0,1,"Madhurawada,Visakhapatnam",83.35818,17.815234,35.0,0.035,17.5
39,Owner,0,0,3,tipe_a,1300.052002,1,1,"Vasanthapura,Bangalore",77.548914,12.894088,75.0,0.05769000000355371,25.0
41,Dealer,0,1,2,tipe_b,1058.114928,1,1,"Sus,Pune",73.737678,18.539812,65.0,0.06142999997444512,32.5
42,Dealer,1,0,1,selain tipe_a dan tipe_b,400.0,0,1,"Kharadi,Pune",73.9438,18.5438,30.0,0.075,30.0
45,Owner,0,0,2,tipe_b,1150.121065,1,1,"Near Ambamata Mandir,Vapi",72.9,20.366670000000003,38.0,0.03304000001078147,19.0
46,Owner,0,0,3,tipe_a,1200.0,1,1,"Patel Nagar-II,Ghaziabad",77.03939100000001,28.460928000000003,60.0,0.05,20.0
47,Dealer,0,0,1,selain tipe_a dan tipe_b,475.0103263,1,1,"Balkum,Lalitpur",78.41889,24.69028,46.0,0.09684000000233259,46.0
48,Builder,1,1,1,selain tipe_a dan tipe_b,301.91711630000003,0,0,"Taloja,Lalitpur",78.41889,24.69028,26.3,0.08710999999704223,26.3
49,Dealer,1,1,2,tipe_b,1228.571429,0,1,"Bolar,Mangalore",74.845271,12.843852,51.6,0.04199999998534883,25.8
50,Owner,0,0,2,tipe_b,986.0164934,1,1,"Ayanambakkam,Chennai",80.151453,13.077175,55.0,0.05577999999812174,27.5
51,Dealer,1,1,3,tipe_a,1972.565158,0,1,"Sector 88 Faridabad,Faridabad",77.351104,28.431862,71.9,0.03644999999538672,23.96666666666667
53,Owner,0,0,3,tipe_a,1275.009808,1,1,"Shiv Mandir,Siliguri",71.392013,25.232239,32.5,0.025489999995356897,10.833333333333334
54,Dealer,1,1,1,selain tipe_a dan tipe_b,406.024219,0,0,"Kalyan (West),Maharashtra",73.124577,19.245347,39.9,0.0982699999972169,39.9
55,Dealer,0,0,3,tipe_a,1862.562189,1,1,"Sector 88 Faridabad,Faridabad",77.351104,28.431862,59.9,0.03216000000094493,19.966666666666665
56,Owner,0,0,2,tipe_b,950.0146156,1,1,"Nandanwan Phases 2,Aurangabad",75.34344,19.88879,65.0,0.0684200000006821,32.5
58,Dealer,0,0,2,tipe_b,1049.969344,1,1,"Basaveshwara Nagar,Bangalore",77.54383,12.985039,68.5,0.06523999999756183,34.25
59,Dealer,0,0,3,tipe_a,1615.008157,1,1,"Maniktala,Kolkata",88.372957,22.589694,99.0,0.06129999998507748,33.0
61,Owner,0,0,2,tipe_b,1100.0,1,1,"Jhotwara,Jaipur",75.73479300000001,26.955346,27.5,0.025,13.75
62,Dealer,1,1,2,tipe_b,906.2661833,0,0,"Balkum,Lalitpur",78.41889,24.69028,70.0,0.07724000000210535,35.0
63,Owner,0,0,3,tipe_a,1454.333915,1,1,"Poolakkaparambu,Ottapalam",76.38,10.77,50.0,0.03438000000158148,16.666666666666668
64,Owner,0,0,3,tipe_a,1591.994542,1,1,"Sector-137 Noida,Noida",77.40956800000001,28.506454,70.0,0.0439699999926256,23.333333333333332
65,Dealer,0,1,2,tipe_b,573.8769151,1,1,"Sector 86 Faridabad,Faridabad",77.342588,28.406388,22.1,0.03850999999912699,11.05
67,Owner,0,0,3,tipe_a,1538.141758,1,1,"Yelahanka,Bangalore",77.59833,13.11389,74.0,0.048110000014706056,24.666666666666668
69,Dealer,0,0,3,tipe_a,1602.084012,1,1,"Sector 77 Faridabad,Faridabad",77.37273,28.368269,49.2,0.03070999999468193,16.400000000000002
70,Owner,0,0,2,tipe_b,1200.0,1,1,"Madhuranagar,Vijayawada",80.61667,16.51667,45.0,0.0375,22.5
71,Owner,0,0,2,tipe_b,760.0709400000001,1,1,"Tilakwadi,Belgaum",74.5,15.86667,60.0,0.07893999999526359,30.0
72,Owner,1,0,2,tipe_b,739.8273736000001,0,1,"tallaiya,Bhopal",77.41667,23.25,30.0,0.040550000000702864,15.0
73,Owner,0,0,2,tipe_b,1260.02291,1,1,"Mulki,Mangalore",74.7844,13.0915,33.0,0.026189999989762094,16.5
74,Owner,0,0,2,tipe_b,1100.151745,1,1,"Manewada,Nagpur",79.111965,21.093676,29.0,0.02636000000163614,14.5
76,Dealer,0,0,2,tipe_b,1146.480331,1,1,"Sector-8 Ulwe,Lalitpur",72.821721,19.216097,88.6,0.07728000001772381,44.3
78,Dealer,0,0,2,tipe_b,759.8784195000001,1,1,"Joka,Kolkata",88.298947,22.452032,30.0,0.03947999999755224,15.0
83,Owner,0,1,2,tipe_b,1150.086256,1,1,"Sector-74 Noida,Noida",77.389781,28.577673,60.0,0.052170000021285357,30.0
84,Dealer,0,1,2,tipe_b,1004.932182,1,1,"New Panvel,Mumbai",73.148278,18.966114,81.5,0.08110000003960466,40.75
85,Owner,0,0,2,tipe_b,800.0,1,1,"Prantik,Kolkata",88.36972,22.56972,34.0,0.0425,17.0
86,Dealer,1,0,3,tipe_a,993.75,0,1,"Subhas Pally,Siliguri",88.439748,26.706157,31.8,0.032,10.6
87,Dealer,0,0,2,tipe_b,1298.139334,1,1,"Jatkhedi,Bhopal",77.477889,23.169982,30.0,0.023109999993267287,15.0
88,Dealer,0,1,2,tipe_b,996.797438,1,1,"Raj Nagar Extension,Ghaziabad",75.775927,26.900926,24.9,0.024979999998756015,12.45
89,Owner,0,0,2,tipe_b,985.0194952,1,1,"CV Raman Nagar,Bangalore",77.66389000000001,12.98556,48.0,0.04872999999888733,24.0
90,Dealer,0,0,3,tipe_a,1118.75,1,1,"Medavakkam,Chennai",80.19287,12.91716,53.7,0.048,17.900000000000002
91,Dealer,0,1,2,tipe_b,889.8305085000001,1,1,"Sector-137 Noida,Noida",77.40956800000001,28.506454,42.0,0.047199999998651425,21.0
95,Dealer,0,0,3,tipe_a,1200.082764,1,1,"Satgachi,Kolkata",88.404471,23.207157,58.0,0.04833000001323242,19.333333333333332
96,Dealer,0,0,2,tipe_b,1584.283904,1,1,"Tilak Nagar,Kanpur",79.506922,26.459137,100.0,0.06311999998707303,50.0
97,Owner,0,0,2,tipe_b,900.0,1,1,"Kalol,Gandhinagar",72.51679,23.2257,18.0,0.02,9.0
98,Dealer,0,1,2,tipe_b,1193.440032,1,1,"Talegaon,Pune",74.647361,18.441256,60.4,0.05060999998364392,30.2
99,Owner,0,0,2,tipe_b,1487.357462,1,1,"Mansarovar Extension,Jaipur",75.7633,26.8626,30.0,0.020169999994258274,15.0
100,Owner,1,1,2,tipe_b,989.9029895,0,1,"Sector-143 Noida,Noida",77.426447,28.5035,50.0,0.05051000000035862,25.0
101,Dealer,0,0,2,tipe_b,1155.020213,1,1,"Bhandup (West),Maharashtra",72.932609,19.147866,140.0,0.12120999998464962,70.0
102,Owner,0,0,2,tipe_b,949.893137,1,1,"Eswaran Koil Street,Pondicherry",79.83,11.93,80.0,0.08422000000195812,40.0
103,Owner,0,0,2,tipe_b,875.0,1,1,"Sector-78 Noida,Noida",77.386208,28.560719,49.0,0.056,24.5
104,Dealer,0,0,2,tipe_b,853.3611982000001,1,1,"Ananth Nagar,Bangalore",77.59796,12.96991,24.5,0.028709999999622666,12.25
105,Owner,0,0,1,selain tipe_a dan tipe_b,483.0917874,1,1,"Roha,Raigad",73.1147,18.4543,18.0,0.03726000000305532,18.0
106,Dealer,0,0,2,tipe_b,800.0,1,1,"Thane West,Maharashtra",72.96333,19.18,95.0,0.11875,47.5
107,Owner,0,0,2,tipe_b,802.0415602999999,1,1,"Ankur Vihar,Ghaziabad",77.41667,28.66667,22.0,0.027430000001210663,11.0
108,Dealer,0,1,2,tipe_b,610.0660905,1,1,"Koyambedu,Chennai",80.19842299999999,13.069866,48.0,0.07867999999911485,24.0
109,Owner,0,0,3,tipe_a,1680.107527,1,1,"Naveen Nagar,Kanpur",78.756315,28.861993,75.0,0.044639999996857346,25.0
110,Owner,0,0,2,tipe_b,1150.136038,1,1,"Nirman Nagar,Jaipur",79.297436,19.980678,93.0,0.08085999997158597,46.5
111,Owner,0,0,3,tipe_a,1550.114497,1,1,"Sector-75 Noida,Noida",77.382136,28.576117,88.0,0.05677000000342555,29.333333333333332
112,Owner,0,0,5,selain tipe_a dan tipe_b,1699.834163,1,1,"Sahibabad,Ghaziabad",77.3683,28.6711,82.0,0.04823999998639868,16.4
113,Owner,1,0,3,tipe_a,1600.170685,0,1,"Tripunithura,Kochi",76.36329649999999,9.952439,75.0,0.04686999999628164,25.0
114,Owner,0,0,1,selain tipe_a dan tipe_b,600.0566091,1,1,"Pen,Raigad",73.08,18.75,21.2,0.035330000000828254,21.2
115,Dealer,0,1,2,tipe_b,1429.200617,1,1,"Sector-66A Mohali,Mohali",76.746082,30.661104,64.9,0.04540999998742654,32.45
116,Owner,0,0,2,tipe_b,1115.1379980000002,1,1,"Dodda Banaswadi,Bangalore",77.65129499999999,13.008071,80.0,0.07174000002105568,40.0
118,Owner,0,0,3,tipe_a,1811.196487,1,1,"Kanke,Ranchi",85.33471999999999,23.35556,99.0,0.054660000011362654,33.0
119,Owner,0,0,2,tipe_b,1045.036079,1,1,"Narendrapur,Kolkata",88.39583,22.43917,42.0,0.04018999998563686,21.0
121,Owner,0,0,3,tipe_a,1298.219585,1,1,"Electronics City Phase 1,Bangalore",77.659441,12.840956,70.0,0.05391999998212937,23.333333333333332
122,Owner,1,1,2,tipe_b,1109.165207,0,1,"Katapady,Udupi",74.747328,13.278237,38.0,0.03426000000737492,19.0
124,Dealer,0,1,2,tipe_b,1041.195111,1,1,"Sector-70 Noida,Noida",77.38143000000001,28.59632,46.0,0.04417999999617747,23.0
125,Dealer,0,0,3,tipe_a,2135.748916,1,1,"Sector 82 Faridabad,Faridabad",77.35722700000001,28.394375,83.7,0.039189999991553315,27.900000000000002
126,Owner,0,1,3,tipe_a,1850.180505,1,1,"Noida Extension,Noida",77.431173,28.579004,82.0,0.044320000009944974,27.333333333333332
127,Dealer,0,0,3,tipe_a,1665.080875,1,1,"Kudasan,Gandhinagar",72.63429000000001,23.166495,70.0,0.042040000009008566,23.333333333333332
128,Owner,0,1,2,tipe_b,398.2621289,1,1,"Purseni,Lucknow",80.98234599999999,26.707154,11.0,0.02761999999945262,5.5
129,Owner,0,0,2,tipe_b,1005.025126,1,1,"Chandapura,Bangalore",77.71181999999999,12.80009,48.0,0.0477599999823288,24.0
132,Dealer,0,1,3,tipe_a,1536.806516,1,1,"Sector-3 Vaishali,Ghaziabad",77.3445,28.6423,100.0,0.0650700000025247,33.333333333333336
133,Owner,0,0,2,tipe_b,1123.188406,1,1,"Kaggadasapura,Bangalore",77.6729,12.9816,62.0,0.055199999990028385,31.0
134,Dealer,0,0,2,tipe_b,800.1939864,1,1,"Jhotwara,Jaipur",75.73479300000001,26.955346,16.5,0.02062000000053987,8.25
136,Dealer,0,0,3,tipe_a,1513.775356,1,1,"JP Nagar,Bangalore",77.580403,12.905368,100.0,0.06605999998853197,33.333333333333336
137,Owner,0,0,3,tipe_a,1280.0,1,1,"Ponekkara,Kochi",76.271273,9.930471,48.0,0.0375,16.0
138,Owner,0,0,1,selain tipe_a dan tipe_b,410.0678733,1,1,"Sector-18 Vrindavan Colony,Lucknow",77.324966,28.568846,14.5,0.035360000000273124,14.5
140,Dealer,0,0,2,tipe_b,890.0451868999999,1,1,"Sector-25 Khandeshhwar,Mumbai",77.339935,28.582887,65.0,0.07303000000077862,32.5
141,Owner,0,0,2,tipe_b,977.7082519,1,1,"Bicholi Mardana,Indore",75.8193,22.1764,25.0,0.025569999998892305,12.5
142,Dealer,0,0,2,tipe_b,1099.855282,1,1,"Syndicate Bank Colony,Bangalore",77.577724,12.977126,38.0,0.034550000006273555,19.0
143,Owner,1,0,2,tipe_b,1050.241272,0,1,"Paota,Jodhpur",73.03943000000001,26.29564,37.0,0.03522999998804084,18.5
144,Dealer,0,1,3,tipe_a,1400.241838,1,1,"Raj Nagar Extension,Ghaziabad",75.775927,26.900926,57.9,0.04134999999907159,19.3
145,Dealer,0,0,3,tipe_a,1740.139211,1,1,"Sector 19 Kharghar,Mumbai",73.078232,19.048979,180.0,0.10344000000813729,60.0
147,Dealer,0,0,2,tipe_b,650.1950585,1,1,"Vadavalli,Coimbatore",76.903583,11.026678,20.0,0.030760000000830522,10.0
148,Owner,0,0,2,tipe_b,1355.01355,1,1,"Gopalpura Bypass,Jaipur",75.77985600000001,26.878068,85.0,0.062730000006273,42.5
149,Dealer,0,0,3,tipe_a,1800.0720030000002,1,1,"Rasanna Colony,Bangalore",77.59796,12.96991,150.0,0.08332999999445022,50.0
150,Dealer,0,1,2,tipe_b,907.6305221,1,1,"Taloja,Maharashtra",74.21238000000001,21.56128,33.9,0.037349999999520725,16.95
151,Dealer,0,0,3,tipe_a,1636.296021,1,1,"Budigere,Bangalore",77.749756,13.141581,88.0,0.05377999999426754,29.333333333333332
152,Owner,0,0,2,tipe_b,900.2520706,1,1,"Tarsali,Vadodara",73.215533,22.261354,25.0,0.027769999999375728,12.5
153,Owner,0,0,2,tipe_b,1318.0440230000002,1,1,"Doddakannelli,Bangalore",77.694263,12.905538,100.0,0.07586999998102491,50.0
154,Dealer,0,1,3,tipe_a,1949.586451,1,1,"Sector-88 Mohali,Mohali",76.691728,30.684523,99.0,0.05078000000934557,33.0
155,Dealer,0,0,3,tipe_a,1643.36522,1,1,"Kakkanad,Kochi",76.271273,9.930471,67.0,0.04076999998819496,22.333333333333332
157,Dealer,0,0,1,selain tipe_a dan tipe_b,655.0802139,1,1,"Sector 20 Ulwe,Maharashtra",73.019574,18.964489,49.0,0.07480000000042743,49.0
158,Owner,0,0,2,tipe_b,1180.173092,1,1,"Ferrar Nagar,Bangalore",77.59796,12.96991,75.0,0.06355000000288093,37.5
159,Owner,0,0,3,tipe_a,1200.087279,1,1,"Sahibabad,Ghaziabad",77.3683,28.6711,55.0,0.04583000000285812,18.333333333333332
162,Owner,0,0,2,tipe_b,850.0991782,1,1,"Ajmer Road,Jaipur",75.828002,26.928785,30.0,0.03529000000155511,15.0
164,Owner,0,0,2,tipe_b,900.0163639,1,1,"Roopena Agrahara,Bangalore",77.58572099999999,12.928575,55.0,0.06111000000230107,27.5
166,Dealer,0,0,2,tipe_b,904.0656205,1,1,"Suraksha Nagar,Bangalore",79.10786,20.098413,50.7,0.05608000000261043,25.35
168,Dealer,1,1,3,tipe_a,1570.306924,0,1,"Tonk Road,Jaipur",75.78333,26.16667,110.0,0.07004999998331536,36.666666666666664
170,Dealer,0,0,2,tipe_b,1000.0,1,1,"Sector-53 Noida,Noida",77.362752,28.593566,60.0,0.06,30.0
172,Owner,0,0,2,tipe_b,1150.130348,1,1,"Villivakkam Near ICF Bus Stand,Chennai",80.2095,13.1101,75.0,0.06521000000601672,37.5
173,Dealer,0,0,2,tipe_b,1210.136674,1,1,"Kamothe,Mumbai",73.09646,19.0168,85.0,0.07024000001507268,42.5
176,Dealer,0,0,2,tipe_b,1050.144395,1,1,"Manjalpur,Vadodara",73.188827,22.271214,40.0,0.03808999999471501,20.0
177,Owner,0,0,1,selain tipe_a dan tipe_b,476.0204688999999,1,1,"Madanandapuram,Chennai",80.152774,13.020957,40.0,0.08402999999649806,40.0
178,Dealer,0,0,2,tipe_b,985.452839,1,1,"Hajipur,Noida",77.366515,28.538774,21.0,0.021310000000923434,10.5
179,Dealer,0,0,2,tipe_b,1045.296167,1,1,"Sector 77 Faridabad,Faridabad",77.37273,28.368269,24.0,0.022960000005433866,12.0
180,Dealer,1,1,2,tipe_b,1301.89498,0,1,"Sarjapur Road,Bangalore",77.786,12.86,90.0,0.06913000002504043,45.0
181,Owner,0,0,2,tipe_b,2000.0,1,1,"Alwar Bypass Road,Bhiwadi",76.8606,28.2102,38.0,0.019,19.0
183,Dealer,0,0,2,tipe_b,1192.0,1,1,"Nayapalli,Bhubaneswar",85.810906,20.286571,59.6,0.05,29.8
184,Dealer,1,0,3,tipe_a,1846.153846,0,0,"New Town,Kolkata",88.484911,22.5922,120.0,0.06500000000541667,40.0
186,Owner,0,0,2,tipe_b,750.0604887000001,1,1,"Gyan Khand 2,Ghaziabad",77.41667,28.66667,31.0,0.04133000000270511,15.5
187,Dealer,0,0,2,tipe_b,1060.0706710000002,1,1,"Roadpali,Maharashtra",73.115347,19.040066,72.0,0.06792000002422478,36.0
188,Dealer,0,1,3,tipe_a,1415.09434,1,1,"Electronic City Phase II,Bangalore",77.6727,12.8458,79.5,0.056179999985018665,26.5
189,Dealer,0,0,2,tipe_b,1160.062565,1,1,"Sector-35G Kharghar,Maharashtra",72.82,18.96,89.0,0.0767200000113787,44.5
191,Owner,1,0,3,tipe_a,1672.762741,0,1,"Sector-143B Noida,Noida",77.42684799999999,28.495803,68.6,0.04100999999497239,22.866666666666664
192,Owner,0,0,2,tipe_b,1315.265046,1,1,"RM Park,Valsad",72.913465,20.606469,33.0,0.025089999996852345,16.5
193,Dealer,0,0,1,selain tipe_a dan tipe_b,650.026001,1,1,"Kalyan (West),Mumbai",73.124577,19.245347,50.0,0.07692000000473828,50.0
194,Owner,0,0,1,selain tipe_a dan tipe_b,540.1755571,1,1,"Saphale,Palghar",72.83686800000001,19.585537,16.0,0.02961999999758967,16.0
195,Dealer,0,0,3,tipe_a,1830.065359,1,1,"Suraksha Nagar,Bangalore",79.10786,20.098413,98.0,0.05355000001396125,32.666666666666664
196,Dealer,0,0,3,tipe_a,1575.157516,1,1,"Judges Enclave,Ghaziabad",77.41667,28.66667,70.0,0.044439999992991176,23.333333333333332
197,Dealer,0,0,3,tipe_a,1530.0,1,1,"Harlur Road,Bangalore",77.665897,12.904179,76.5,0.05,25.5
198,Owner,0,0,2,tipe_b,619.6377502,1,1,"Byagadadhenahalli,Bangalore",77.700377,12.758604,26.0,0.04196000000259506,13.0
199,Owner,0,0,4,selain tipe_a dan tipe_b,2200.0,1,1,"Citylight Area,Surat",72.83,21.17,110.0,0.05,27.5
200,Dealer,0,0,3,tipe_a,1757.188498,1,1,"Action Area IID,Kolkata",-86.15292909,40.67197199,77.0,0.043820000010038766,25.666666666666668
201,Dealer,0,1,2,tipe_b,1087.885617,1,1,"Manpada,Mumbai",72.962722,19.239813,140.0,0.12868999995244906,70.0
202,Owner,0,0,2,tipe_b,1199.862873,1,1,"Doddakallasandra,Bangalore",77.557654,12.880993,70.0,0.0583399999909823,35.0
203,Owner,0,0,2,tipe_b,1265.035255,1,1,"Bhuvaneshwari Nagar,Bangalore",77.603954,13.033421,61.0,0.048220000003082915,30.5
204,Dealer,0,0,2,tipe_b,676.0453302,1,1,"Ganganagar,Kolkata",88.242147,22.301625,17.3,0.025590000000269213,8.65
205,Owner,0,0,2,tipe_b,800.0,1,1,"Mohan Nagar,Ghaziabad",77.38296,28.678014,42.0,0.0525,21.0
206,Owner,0,0,2,tipe_b,750.0750075,1,1,"Maheshtala,Kolkata",88.233267,22.486821,25.0,0.03333000000003333,12.5
208,Dealer,0,0,3,tipe_a,1814.285714,1,1,"Khandagiri,Bhubaneswar",85.780142,20.257483,88.9,0.04900000000771654,29.633333333333336
209,Dealer,0,1,3,tipe_a,1195.652174,1,1,"Ghodbunder Road,Lalitpur",78.41889,24.69028,110.0,0.09199999999330909,36.666666666666664
210,Dealer,0,0,3,tipe_a,1395.032324,1,1,"Raj Nagar Extension,Ghaziabad",75.775927,26.900926,41.0,0.029389999998308283,13.666666666666666
211,Owner,0,0,2,tipe_b,850.1594049,1,1,"Palghar,Palghar",72.767746,19.696531,24.0,0.028229999999615365,12.0
212,Dealer,0,0,2,tipe_b,909.4339623,1,1,"Keelkattalai,Chennai",80.18367099999999,12.957707,48.2,0.052999999997910795,24.1
213,Owner,1,0,2,tipe_b,910.0937672,0,1,"Ramna,Varanasi",83.014116,25.248438,33.0,0.03626000000145919,16.5
215,Dealer,0,1,3,tipe_a,2069.857697,1,1,"Sector-107 Noida,Noida",77.37849399999999,28.546788,160.0,0.07730000001058045,53.333333333333336
217,Dealer,0,0,2,tipe_b,1241.8075199999998,1,1,"Sargasan,Gandhinagar",72.611485,23.182972,36.0,0.02898999999613467,18.0
218,Dealer,0,1,3,tipe_a,1014.120668,1,0,"Kharadi,Maharashtra",73.9438,18.5438,79.0,0.07789999996331798,26.333333333333332
220,Dealer,0,0,2,tipe_b,900.0782677000001,1,1,"Sector 35I Kharghar,Lalitpur",78.41889,24.69028,69.0,0.07665999999790907,34.5
221,Builder,1,0,2,tipe_b,898.5074627,0,0,"Jalukbari,Guwahati",91.670312,26.154874,30.1,0.03349999999949917,15.05
223,Dealer,0,0,3,tipe_a,1350.0,1,1,"Sector-50 Noida,Noida",77.3679,28.5679,81.0,0.06,27.0
224,Dealer,0,1,2,tipe_b,1100.110011,1,1,"Warje,Pune",73.80377299999999,18.485487,70.0,0.06363000000006364,35.0
225,Dealer,0,1,1,selain tipe_a dan tipe_b,612.1199755,1,1,"Mambakkam,Chennai",80.1682,12.8356,30.0,0.04901000000121708,30.0
226,Owner,0,0,2,tipe_b,1100.352113,1,1,"Sai Nagar,Amravati",77.741664,20.892133,25.0,0.022719999993311233,12.5
228,Dealer,0,0,3,tipe_a,1475.2567689999998,1,1,"Sector-137 Noida,Noida",77.40956800000001,28.506454,79.0,0.05355000001359086,26.333333333333332
230,Builder,1,0,1,selain tipe_a dan tipe_b,300.0260892,0,0,"Kachimet,Lalitpur",78.41889,24.69028,11.5,0.03833000000321305,11.5
231,Owner,0,0,2,tipe_b,1000.0,1,1,"Venkojipalem,Visakhapatnam",83.25,17.7,50.0,0.05,25.0
233,Dealer,1,1,2,tipe_b,995.8314034,0,0,"Sevasi,Vadodara",73.121275,22.311323,21.5,0.021590000000596486,10.75
234,Dealer,0,0,3,tipe_a,1646.706587,1,0,"Sector-90 Gurgaon,Gurgaon",76.936447,28.406794,110.0,0.06679999999295565,36.666666666666664
236,Owner,0,0,3,tipe_a,534.061239,1,1,"Sector 55 Faridabad,Faridabad",77.299035,28.34532,45.0,0.08426000000348274,15.0
237,Dealer,1,1,2,tipe_b,1100.0,0,1,"Majiwada,Mumbai",72.992114,19.218498,110.0,0.1,55.0
238,Dealer,0,0,3,tipe_a,1968.888889,1,1,"GS Road,Guwahati",91.76667,26.16667,88.6,0.044999999997460495,29.53333333333333
239,Dealer,0,1,3,tipe_a,2196.354052,1,1,"Sector-110 Noida,Noida",77.383669,28.536585,100.0,0.04553000000566393,33.333333333333336
241,Dealer,0,0,2,tipe_b,1650.252861,1,1,"Hadapsar,Pune",73.94167,18.49667,62.0,0.03757000000741099,31.0
